lakeid,sta,sampledate,andate,coreid,top_bottom,species_name,head_size,head_size_units_to_mm,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,6,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,6,55,,
myv,33,2013-06-22,2013-06-24,3,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,3,1,ch,34,55,,
myv,33,2013-06-22,2013-06-24,3,1,tp,24,55,,
myv,33,2013-06-22,2013-06-24,3,1,tp,26,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,4,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,6,55,,
myv,33,2013-06-22,2013-06-24,4,0,ch,5,55,,
